Synset	Class	Relation
sand%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
sauce%1:13:00:: 	DOLCE-Lite.owl#amount-of-matter ; Kyoto#food__nutrient-eng-3.0-00021265-n	
smoke%1:19:00:: 	DOLCE-Lite.owl#amount-of-matter	
spray%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
spread%1:13:00:: 	DOLCE-Lite.owl#amount-of-matter	
steam%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
substance%1:24:00:: 	DOLCE-Lite.owl#amount-of-matter	
sugar%1:13:00:: 	DOLCE-Lite.owl#amount-of-matter ; Kyoto#food__nutrient-eng-3.0-00021265-n	
tea%1:13:00:: 	DOLCE-Lite.owl#amount-of-matter	
urine%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
fire%1:22:00:: 	DOLCE-Lite.owl#amount-of-matter ; physical-object	
density%1:07:00:: 	TopKyoto3#amount-of-matter-quality	
bat%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
bee%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
bird%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
calf%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
cat%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
deer%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
fly%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
fox%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
frog%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
hen%1:05:01:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
lion%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
man%1:05:01:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
salmon%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
snail%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
tiger%1:05:00:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
area%1:07:00:: 	Kyoto#area	EQUIV
reproduction%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
reservoir%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
mask%1:06:00:: 	Kyoto#artifact-role	
ankle%1:08:00:: 	Kyoto#structure__anatomical_structure__complex_body_part__bodily_structure__body_structure-eng-3.0-05225602-n	
appendix%1:08:00:: 	Kyoto#structure__anatomical_structure__complex_body_part__bodily_structure__body_structure-eng-3.0-05225602-n	
body%1:08:01:: 	Kyoto#structure__anatomical_structure__complex_body_part__bodily_structure__body_structure-eng-3.0-05225602-n	
cheek%1:08:00:: 	Kyoto#structure__anatomical_structure__complex_body_part__bodily_structure__body_structure-eng-3.0-05225602-n	
finger%1:08:00:: 	Kyoto#structure__anatomical_structure__complex_body_part__bodily_structure__body_structure-eng-3.0-05225602-n	
freckle%1:08:00:: 	CommonSenseMapping.owl#biological-object	
index%1:08:00:: 	Kyoto#structure__anatomical_structure__complex_body_part__bodily_structure__body_structure-eng-3.0-05225602-n	
lid%1:08:00:: 	Kyoto#structure__anatomical_structure__complex_body_part__bodily_structure__body_structure-eng-3.0-05225602-n	
log%1:27:01:: 	CommonSenseMapping.owl#biological-object	
neck%1:08:00:: 	Kyoto#structure__anatomical_structure__complex_body_part__bodily_structure__body_structure-eng-3.0-05225602-n	
wrist%1:08:00:: 	Kyoto#structure__anatomical_structure__complex_body_part__bodily_structure__body_structure-eng-3.0-05225602-n	
archive%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n ; Kyoto#organization_organisation-eng-3.0-08008335-n	
cafe%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n ; Kyoto#organization_organisation-eng-3.0-08008335-n	
clinic%1:14:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n ; Kyoto#organization_organisation-eng-3.0-08008335-n	
institution%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n ; Kyoto#organization_organisation-eng-3.0-08008335-n	
laboratory%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n ; Kyoto#organization_organisation-eng-3.0-08008335-n	
library%1:06:02:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n ; Kyoto#organization_organisation-eng-3.0-08008335-n	
monastery%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n ; Kyoto#organization_organisation-eng-3.0-08008335-n	
plant%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n ; Kyoto#organization_organisation-eng-3.0-08008335-n	
restaurant%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n ; Kyoto#organization_organisation-eng-3.0-08008335-n	
benefit%1:07:00:: 	CommonSenseMapping.owl#causal-role	
result%1:11:00:: 	CommonSenseMapping.owl#causal-role	
split%1:04:00:: 	Kyoto#change-eng-3.0-00191142-n	
change%1:11:00:: 	Kyoto#change-eng-3.0-00191142-n	
expansion%1:04:00:: 	Kyoto#change-eng-3.0-00191142-n	
destruction%1:11:00:: 	Kyoto#change_of_integrity-eng-3.0-00376063-n	
damage%1:11:00:: 	Kyoto#change_of_state-eng-3.0-00199130-n	
descent%1:11:00:: 	Kyoto#change_of_location__movement_11-eng-3.0-00280586n	
fall%1:17:00:: 	Kyoto#change_of_location__movement_11-eng-3.0-00280586n	
jet%1:11:00:: 	Kyoto#change_of_location__movement_11-eng-3.0-00280586n	
move%1:04:01:: 	Kyoto#change_of_location__movement_11-eng-3.0-00280586n	
anger%1:12:00:: 	ExtendedDnS.owl#cognitive-event	
concern%1:09:00:: 	ExtendedDnS.owl#cognitive-event	
discovery%1:09:00:: 	ExtendedDnS.owl#cognitive-event	
doubt%1:07:00:: 	ExtendedDnS.owl#cognitive-event	
emotion%1:12:00:: 	ExtendedDnS.owl#cognitive-event	
frustration%1:12:01:: 	ExtendedDnS.owl#cognitive-event	
mourning%1:26:00:: 	ExtendedDnS.owl#cognitive-event	
pleasure%1:12:00:: 	ExtendedDnS.owl#cognitive-event	
rage%1:12:00:: 	ExtendedDnS.owl#cognitive-event	
resignation%1:12:00:: 	ExtendedDnS.owl#cognitive-event	
sensation%1:26:00:: 	ExtendedDnS.owl#cognitive-event	
shame%1:12:00:: 	ExtendedDnS.owl#cognitive-event	
suffering%1:12:01:: 	ExtendedDnS.owl#cognitive-event	
admiration%1:12:01:: 	ExtendedDnS.owl#cognitive-state	
apathy%1:12:00:: 	ExtendedDnS.owl#cognitive-state	
consciousness%1:09:00:: 	ExtendedDnS.owl#cognitive-state	
grip%1:07:00:: 	ExtendedDnS.owl#cognitive-state	
optimism%1:07:00:: 	ExtendedDnS.owl#cognitive-state	
position%1:09:01:: 	ExtendedDnS.owl#cognitive-state	
prospect%1:09:01:: 	ExtendedDnS.owl#cognitive-state	
transport%1:26:00:: 	ExtendedDnS.owl#cognitive-state	
welfare%1:26:00:: 	ExtendedDnS.owl#cognitive-state	
hope%1:12:00:: 	ExtendedDnS.owl#cognitive-state ; MentalObjects.owl#mental-object	
exhibition%1:14:00:: 	ExtendedDnS.owl#collection	
pack%1:14:00:: 	ExtendedDnS.owl#collection	
company%1:14:02:: 	CommonSenseMapping.owl#collection-role	
constituency%1:14:00:: 	CommonSenseMapping.owl#collection-role	
class%1:14:03:: 	ExtendedDnS.owl#collective	
country%1:14:00:: 	ExtendedDnS.owl#collective	
division%1:14:00:: 	ExtendedDnS.owl#collective	
house%1:14:05:: 	ExtendedDnS.owl#collective	
lobby%1:14:00:: 	ExtendedDnS.owl#collective	
orchestra%1:14:00:: 	ExtendedDnS.owl#collective	
pair%1:14:00:: 	ExtendedDnS.owl#collective	
public%1:14:01:: 	ExtendedDnS.owl#collective	
school%1:14:03:: 	ExtendedDnS.owl#collective	
society%1:14:00:: 	ExtendedDnS.owl#collective	
troop%1:14:00:: 	ExtendedDnS.owl#collective	
van%1:14:01:: 	ExtendedDnS.owl#collective	
world%1:14:02:: 	ExtendedDnS.owl#collective	
youth%1:14:00:: 	ExtendedDnS.owl#collective	
allowance%1:21:00:: 	CommonSenseMapping.owl#commerce-role	
charge%1:10:03:: 	CommonSenseMapping.owl#commerce-role	
commission%1:21:00:: 	CommonSenseMapping.owl#commerce-role	
expenditure%1:21:00:: 	CommonSenseMapping.owl#commerce-role	
grant%1:21:00:: 	CommonSenseMapping.owl#commerce-role	
investment%1:21:00:: 	CommonSenseMapping.owl#commerce-role	
pension%1:21:00:: 	CommonSenseMapping.owl#commerce-role	
premium%1:21:02:: 	CommonSenseMapping.owl#commerce-role	
price%1:07:00:: 	CommonSenseMapping.owl#commerce-role	
price%1:07:02:: 	CommonSenseMapping.owl#commerce-role	
influence%1:19:00:: 	Kyoto#consequence__effect__outcome__result__issue__upshot-eng-3.0-11410625-n	
south%1:15:00:: 	CommonSenseMapping.owl#country	
state%1:15:01:: 	CommonSenseMapping.owl#country	
manufacture%1:04:01:: 	Kyoto#creation_1__creative_activity_1-eng-3.0-00908492-n	
mosaic%1:06:00:: 	CommonSenseMapping.owl#creative-object	
theme%1:10:02:: 	CommonSenseMapping.owl#creative-object	
aisle%1:06:02:: 	DOLCE-Lite.owl#dependent-place	
burn%1:26:02:: 	DOLCE-Lite.owl#dependent-place	
clearance%1:23:00:: 	DOLCE-Lite.owl#dependent-place	
mouth%1:08:01:: 	DOLCE-Lite.owl#dependent-place	
shadow%1:26:01:: 	DOLCE-Lite.owl#dependent-place	
bath%1:06:01:: 	DOLCE-Lite.owl#dependent-place ; Kyoto#artifact__artefact-eng-3.0-00021939-n	
fire%1:06:00:: 	DOLCE-Lite.owl#dependent-place ; Kyoto#artifact__artefact-eng-3.0-00021939-n	
kitchen%1:06:00:: 	DOLCE-Lite.owl#dependent-place ; Kyoto#artifact__artefact-eng-3.0-00021939-n	
lounge%1:06:00:: 	DOLCE-Lite.owl#dependent-place ; Kyoto#artifact__artefact-eng-3.0-00021939-n	
cell%1:06:02:: 	DOLCE-Lite.owl#dependent-place ; CommonSenseMapping.owl#physical-place	
cellar%1:06:00:: 	DOLCE-Lite.owl#dependent-place ; CommonSenseMapping.owl#physical-place	
graph%1:10:00:: 	InformationObjects.owl#diagrammatic-object	
computing%1:09:00:: 	Kyoto#discipline__subject__subject_area__subject_field__field__field_of_study__study__bailiwic-eng-3.0-05996646-n	
medicine%1:04:00:: 	Kyoto#discipline__subject__subject_area__subject_field__field__field_of_study__study__bailiwic-eng-3.0-05996646-n	
philosophy%1:09:01:: 	Kyoto#discipline__subject__subject_area__subject_field__field__field_of_study__study__bailiwic-eng-3.0-05996646-n	
psychology%1:09:00:: 	Kyoto#discipline__subject__subject_area__subject_field__field__field_of_study__study__bailiwic-eng-3.0-05996646-n	
study%1:09:02:: 	Kyoto#discipline__subject__subject_area__subject_field__field__field_of_study__study__bailiwic-eng-3.0-05996646-n	
technology%1:09:00:: 	Kyoto#discipline__subject__subject_area__subject_field__field__field_of_study__study__bailiwic-eng-3.0-05996646-n	
ability%1:07:00::	TopKyoto3#dispositional	
craft%1:09:01:: 	TopKyoto3#dispositional	
literacy%1:09:00:: 	TopKyoto3#dispositional	
sight%1:09:00:: 	TopKyoto3#dispositional	
expertise%1:09:00:: 	TopKyoto2.1#dispositional-region	
facility%1:09:00:: 	TopKyoto2.1#dispositional-region	
weakness%1:07:00:: 	TopKyoto2.1#dispositional-region	
prescription%1:06:00:: 	Kyoto#drug-eng-3.0-03247620-n	
fault%1:07:01:: 	Kyoto3Middle#evaluative-region	
hole%1:26:00:: 	Kyoto3Middle#evaluative_state	
blow%1:11:02:: 	DOLCE-Lite.owl#event	
fuss%1:04:00:: 	DOLCE-Lite.owl#event	
line%1:25:01:: 	DOLCE-Lite.owl#feature	
fluctuation%1:07:00:: 	Kyoto#fluxuation_of_magintude	
vegetable%1:13:00:: 	Kyoto#food__nutrient-eng-3.0-00021265-n	
rule%1:09:04:: 	InformationObjects.owl#formal-system	
desert%1:15:00:: 	CommonSenseMapping.owl#geographical-object	
mountain%1:17:00:: 	CommonSenseMapping.owl#geographical-object	
volcano%1:17:00:: 	CommonSenseMapping.owl#geographical-object	
west%1:15:00:: 	CommonSenseMapping.owl#geographical-place	
quality%1:07:02:: 	Kyoto3Middle#goodness	
merit%1:07:02:: 	Kyoto3Middle#goodness_region	
giant%1:18:03:: 	Kyoto#animal__animate_being_beast__brute__creature__fauna-eng-3.0-00015388-n	
arrow%1:10:00:: 	InformationObjects.owl#iconic-object	
priority%1:26:00:: 	Kyoto#importance	
program%1:10:02:: 	InformationObjects.owl#information-realization	
register%1:10:00:: 	InformationObjects.owl#information-realization	
title%1:10:04:: 	InformationObjects.owl#information-realization	
voucher%1:10:00:: 	InformationObjects.owl#information-realization	
jazz%1:10:00:: 	ExtendedDnS.owl#information-encoding-system	
expression%1:10:00:: 	ExtendedDnS.owl#information-object	
broadcast%1:10:00:: 	ExtendedDnS.owl#information-object	
calendar%1:28:00:: 	ExtendedDnS.owl#information-object	
code%1:10:02:: 	ExtendedDnS.owl#information-object	
column%1:14:01:: 	ExtendedDnS.owl#information-object	
contradiction%1:10:01:: 	ExtendedDnS.owl#information-object	
document%1:10:00:: 	ExtendedDnS.owl#information-object	
equation%1:10:00:: 	ExtendedDnS.owl#information-object	
film%1:06:01:: 	ExtendedDnS.owl#information-object	
guide%1:10:00:: 	ExtendedDnS.owl#information-object	
information%1:10:00:: 	ExtendedDnS.owl#information-object	
irony%1:10:01:: 	ExtendedDnS.owl#information-object	
journal%1:10:00:: 	ExtendedDnS.owl#information-object	
legend%1:10:01:: 	ExtendedDnS.owl#information-object	
paper%1:10:02:: 	ExtendedDnS.owl#information-object	
passage%1:10:00:: 	ExtendedDnS.owl#information-object	
patent%1:10:01:: 	ExtendedDnS.owl#information-object	
pattern%1:09:01:: 	ExtendedDnS.owl#information-object	
plot%1:10:00:: 	ExtendedDnS.owl#information-object	
proof%1:10:00:: 	ExtendedDnS.owl#information-object	
record%1:10:00:: 	ExtendedDnS.owl#information-object	
selection%1:10:00:: 	ExtendedDnS.owl#information-object	
tip%1:10:00:: 	ExtendedDnS.owl#information-object	
tract%1:10:00:: 	ExtendedDnS.owl#information-object	
resignation%1:10:01:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
excuse%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
feedback%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
dialogue%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
menu%1:10:01:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
proposal%1:10:01:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
reference%1:10:03:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
suggestion%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
text%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
timetable%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
account%1:21:02:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
appeal%1:10:02:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
attack%1:04:05:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
cheek%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
explanation%1:10:01:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
forecast%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
legend%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
pitch%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
